age_l,age_u,d_all
0,1,558.771179199219
1,2,43.6337432861328
2,3,28.157886505127
3,4,21.1429214477539
4,5,15.9989099502563
5,6,14.8270769119263
6,7,13.4725914001465
7,8,12.3929233551025
8,9,11.1773624420166
9,10,9.90345287322998
10,11,9.15854072570801
11,12,9.98045635223389
12,13,13.571964263916
13,14,20.491584777832
14,15,29.6676616668701
15,16,39.685359954834
16,17,49.2620582580566
17,18,58.1487121582031
18,19,65.9883117675781
19,20,73.153564453125
20,21,80.807975769043
21,22,88.8236618041992
22,23,95.9085235595703
23,24,101.645233154297
24,25,106.487907409668
25,26,110.81615447998
26,27,115.726043701172
27,28,122.046844482422
28,29,130.174560546875
29,30,139.319854736328
30,31,148.672561645508
31,32,157.327301025391
32,33,165.071411132812
33,34,171.832962036133
34,35,178.199935913086
35,36,184.675323486328
36,37,191.931915283203
37,38,200.352355957031
38,39,210.110778808594
39,40,220.762435913086
40,41,232.686737060547
41,42,244.836959838867
42,43,255.77571105957
43,44,265.157257080078
44,45,274.276824951172
45,46,284.893829345703
46,47,298.690338134766
47,48,315.892669677734
48,49,336.388153076172
49,50,359.206512451172
50,51,383.614349365234
51,52,409.849060058594
52,53,438.715637207031
53,54,471.362091064453
54,55,508.411102294922
55,56,547.436462402344
56,57,589.450439453125
57,58,637.901550292969
58,59,692.391296386719
59,60,749.608276367188
60,61,806.834411621094
61,62,862.371337890625
62,63,916.566040039062
63,64,970.547119140625
64,65,1026.138671875
65,66,1084.84191894531
66,67,1155.42395019531
67,68,1218.99084472656
68,69,1286.22839355469
69,70,1357.46789550781
70,71,1421.36865234375
71,72,1505.60668945312
72,73,1595.58874511719
73,74,1701.42749023438
74,75,1817.82934570312
75,76,1945.92346191406
76,77,2046.94836425781
77,78,2242.77661132812
78,79,2361.78735351562
79,80,2547.8232421875
80,81,2690.44555664062
81,82,2883.44091796875
82,83,3047.45654296875
83,84,3179.90209960938
84,85,3310.97631835938
85,86,3402.17895507812
86,87,3520.25463867188
87,88,3595.69604492188
88,89,3620.3349609375
89,90,3587.46215820312
90,91,3492.751953125
91,92,3335.15234375
92,93,3117.5908203125
93,94,2847.31689453125
94,95,2535.7314453125
95,96,2197.61059570312
96,97,1849.75231933594
97,98,1509.20812988281
98,99,1191.39038085938
99,100,908.412780761719
100,101,704.429259375
101,102,473.22594
102,103,311.87753
103,104,189.10221
104,105,119.24729
105,106,67.73811
106,107,46.56995
107,108,25.87219
108,109,19.52175
109,110,8.70246
110,111,6.82085
111,112,4.93924
112,113,2.35202
113,114,3.05762
114,115,2.11682
115,116,0.7056
116,117,0.2352
117,118,0.23521
118,119,0.4704
120,121,0.2352
121,122,0.2352
122,123,0.2352
123,124,0.23521
125,126,0.4704
